Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,basic_freq_list,Icn_y
1739764817,12766.283333,26.043830,1058.532715,7957.848563,28.364151,0,0.014444,18.166538,-0.007719
1739765229,12773.150000,25.274809,1216.369629,7802.789601,142.279422,0,0.012135,19.186860,-0.000997
1739765876,12783.933333,27.025197,1101.470947,7671.834821,32.901510,0,0.029789,21.052209,-0.018140
1739766538,12794.966667,27.583126,1178.558350,7639.004862,27.755497,0,0.023290,20.223701,-0.009134
1739767183,12805.716667,27.139634,1294.372559,7197.331613,30.855316,0,0.016959,17.426543,-0.005985
1739767842,12816.700000,25.616826,1273.681641,7297.803941,31.975676,0,0.021865,28.927663,-0.009973
1739768487,12827.450000,27.350515,1251.708984,7473.496225,29.416585,0,0.027786,13.372927,-0.001083
1739769146,12838.433333,26.600134,1155.487061,7727.940870,30.198255,0,0.018251,22.135683,-0.005608
1739769791,12849.183333,28.000355,1081.054688,7829.429755,28.163196,0,0.010823,19.370601,-0.008336
1739770450,12860.166667,28.039160,1152.832031,7626.910244,32.744590,0,0.029779,27.319384,-0.003628
1739771094,12870.900000,26.604473,1348.754883,7609.525888,78.884810,0,0.019809,23.056229,-0.011872
1739771750,12881.833333,27.342413,1235.595703,7560.594296,40.098036,0,0.029739,21.078454,-0.011541
1739772395,12892.583333,26.292679,1339.782715,7565.689849,33.943516,0,0.023434,26.022437,-0.006998
1739773050,12903.500000,28.667585,1286.590576,7556.247006,33.141981,0,0.023113,23.179134,-0.006627
1739773696,12914.266667,28.357773,1358.184814,7410.821303,34.257101,0,0.023243,16.095465,-0.005330
1739774352,12925.200000,28.848097,1331.634521,7312.174337,42.764165,0,0.027035,16.466623,-0.017147
1739775000,12936.000000,27.940714,1166.198730,7083.444619,29.706898,0,0.021729,27.752553,-0.011942
1739775673,12947.216667,28.361908,1320.190430,7164.086557,27.464664,0,0.022662,25.315418,-0.008774
1739776321,12958.016667,28.142396,1415.222168,7438.597260,31.481670,0,0.019803,23.731267,-0.008257
1739776986,12969.100000,28.997834,1202.087402,7199.711041,27.331131,0,0.021644,28.246445,-0.012257
1739777632,12979.866667,29.072553,1317.626953,7276.488736,28.227559,0,0.029351,19.495446,-0.012591
