Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,basic_freq_list,Icn_y
1738998840,0.000000,33.567283,0,13333.620910,93.061793,0,0.014297,52.631513,-0.003460
1739000405,26.083333,34.370480,0,13482.459338,94.236643,0,0.016468,53.622145,-0.006765
1739000709,31.150000,33.871517,0,13302.820584,94.122670,0,0.012298,53.296872,-0.010836
1739001013,36.216667,33.371031,0,13361.650919,92.323621,0,0.015232,53.328367,-0.012282
1739001318,41.300000,33.558169,0,13428.982631,92.375855,0,0.013869,53.308974,-0.002088
1739003146,71.766667,33.718672,0,13362.831522,93.277155,0,0.021248,53.141165,-0.003935
1739003451,76.850000,33.269334,0,13279.457968,92.611962,0,0.020134,52.982016,-0.008256
1739004061,87.016667,33.557175,0,13401.199532,92.564624,0,0.009554,53.108191,-0.006757
1739004366,92.100000,33.463617,0,13375.636846,92.482962,0,0.007888,53.066099,-0.007134
1739004975,102.250000,33.668907,0,13246.234598,93.959327,0,0.015623,52.750771,-0.005554
1739005280,107.333333,32.865832,0,13287.369681,91.434257,0,0.021046,52.708789,-0.001909
1739005890,117.500000,33.158516,0,13288.932627,92.237667,0,0.011374,52.825735,-0.010067
1739006195,122.583333,31.477120,0,13151.004968,88.478831,0,0.023681,34.085609,-0.006447
1739006501,127.683333,33.191181,0,13211.093206,92.872530,0,0.015397,52.670235,-0.013806
1739006805,132.750000,30.476484,0,13124.211138,85.841042,0,0.016609,45.227134,0.001166
1739007719,147.983333,34.605425,0,13463.566147,95.013956,0,0.007398,53.255520,-0.004194
1739008634,163.233333,33.357745,0,13312.730568,92.625991,0,0.014567,53.028349,-0.004917
1739009244,173.400000,33.242582,0,13237.475189,92.830976,0,0.014689,52.831402,-0.007866
1739009854,183.566667,33.340630,0,13287.452281,92.754590,0,0.014683,52.937427,-0.007030
1739011072,203.866667,33.826642,0,13283.028549,94.138031,0,0.014737,52.852017,-0.014660
1739011682,214.033333,33.754539,0,13345.728271,93.496042,0,0.015117,53.025468,-0.014425
1739012292,224.200000,33.879432,0,13285.427534,94.267917,0,0.014725,52.881712,-0.006889
1739012902,234.366667,33.626383,0,13295.165790,93.495287,0,0.011530,52.603616,-0.011275
1739013207,239.450000,33.765175,0,13334.278011,93.605814,0,0.009011,52.732945,-0.008093
1739013817,249.616667,33.277177,0,13261.281633,92.760760,0,0.014450,52.683552,0.002650
1739014121,254.683333,33.320378,0,13253.080936,92.938656,0,0.014098,52.707457,-0.005359
1739014426,259.766667,33.113278,0,13320.461704,91.893801,0,0.002491,52.469640,0.000837
1739015036,269.933333,33.405522,0,13288.579225,92.927238,0,0.011738,52.629224,-0.008704
1739015645,280.083333,32.612565,0,13139.336779,91.751852,0,0.010990,52.341457,-0.006692
1739015950,285.166667,33.364238,0,13184.482468,93.545186,0,0.016917,52.392878,-0.002309
1739016255,290.250000,33.546260,0,13227.416960,93.750240,0,0.014635,52.426324,-0.011451
1739016560,295.333333,32.932373,0,13245.882516,91.906334,0,0.008821,52.629300,-0.006713
1739017170,305.500000,33.012584,0,13165.795077,92.690613,0,0.014812,52.560045,-0.005556
1739017475,310.583333,33.633179,0,13258.704754,93.771344,0,0.011347,52.642517,-0.004059
1739017780,315.666667,33.577248,0,13274.243118,93.505822,0,0.010355,52.680736,-0.003534
1739018085,320.750000,33.839564,0,13250.561536,94.404740,0,0.015527,52.654692,-0.006675
1739018389,325.816667,34.212395,0,13304.513375,95.057810,0,0.006484,52.950222,-0.006479
1739019304,341.066667,33.591362,0,13316.946032,93.245161,0,0.007995,53.008174,-0.003150
1739020524,361.400000,32.723055,0,13103.668936,92.313296,0,0.012015,52.478741,-0.003815
1739021133,371.550000,33.770716,0,13187.925445,94.660132,0,0.013293,52.668882,-0.006026
1739021437,376.616667,33.804057,0,13218.880682,94.531700,0,0.014375,52.745399,-0.009009
1739021742,381.700000,34.713829,0,13209.712414,97.143217,0,0.016070,52.461665,0.003961
1739022658,396.966667,33.137719,0,13170.676886,93.007471,0,0.011278,52.491987,-0.004042
1739022962,402.033333,32.677874,0,13171.568130,91.710621,0,0.011858,52.530095,-0.006041
1739023267,407.116667,33.330511,0,13241.927839,93.045223,0,0.018866,52.566484,-0.001866
1739024792,432.533333,33.193141,0,13200.075695,92.955534,0,0.011807,52.561017,-0.008740
1739026011,452.850000,33.367059,0,13161.787244,93.714412,0,0.014033,52.397870,-0.005363
1739026315,457.916667,34.248440,0,13206.278635,95.865790,0,0.013182,52.639242,-0.008878
1739026924,468.066667,32.987875,0,13171.270361,92.582733,0,0.013794,52.551800,-0.002605
1739027229,473.150000,33.295030,0,13178.060803,93.396634,0,0.021373,52.457765,-0.014115
1739027536,478.266667,32.801787,0,13134.068894,92.321220,0,0.013624,52.360175,-0.005136
1739028145,488.416667,33.520843,0,13125.068907,94.409710,0,0.010312,52.280841,-0.007082
1739028754,498.566667,32.965074,0,13195.049450,92.352010,0,0.007461,52.392815,-0.006871
1739030586,529.100000,33.381229,0,13154.534252,93.805904,0,0.016359,52.173219,-0.008866
1739032110,554.500000,33.992047,0,13112.735518,95.826877,0,0.017998,51.443556,0.001100
1739032415,559.583333,33.399271,0,13109.958348,94.175731,0,0.014982,51.984977,-0.007567
1739032721,564.683333,34.167114,0,13202.830397,95.663129,0,0.018045,51.950490,-0.008180
1739033331,574.850000,33.441636,0,13219.620291,93.512970,0,0.014092,51.862450,-0.007708
1739033636,579.933333,32.806568,0,13192.985172,91.922335,0,0.016530,52.055838,-0.011417
1739035159,605.316667,33.708256,0,13213.685741,94.300856,0,0.013731,52.558728,-0.003258
1739035464,610.400000,33.272162,0,13220.236263,93.034734,0,0.017754,52.462967,-0.007883
1739036989,635.816667,33.339230,0,13218.845964,93.232073,0,0.013443,52.508982,-0.005730
1739037598,645.966667,33.458557,0,13306.558161,92.949014,0,0.010331,52.578697,-0.004670
1739038207,656.116667,32.884208,0,13158.657857,92.380247,0,0.008386,52.689025,-0.004818
1739038514,661.233333,33.665540,0,13262.232641,93.836599,0,0.013535,52.637131,-0.006262
1739039123,671.383333,33.786756,0,13280.797633,94.042823,0,0.015320,52.813765,-0.009467
1739039732,681.533333,33.441387,0,13266.109170,93.184576,0,0.012046,52.823600,-0.004631
1739040342,691.700000,33.564900,0,13127.356107,94.517323,0,0.016313,52.521378,-0.005474
1739041257,706.950000,33.479239,0,13179.881841,93.900387,0,0.019360,52.500677,-0.013539
1739042476,727.266667,33.543124,0,13245.139952,93.616043,0,0.013893,52.817424,-0.006192
1739042780,732.333333,32.929370,0,13251.049508,91.862122,0,0.016565,52.590792,-0.006489
1739044306,757.766667,33.367109,0,13251.888247,93.077378,0,0.015430,52.798871,-0.008235
1739044915,767.916667,33.837532,0,13256.804052,94.354618,0,0.017087,52.591665,-0.009575
1739045220,773.000000,33.874014,0,13282.449081,94.273978,0,0.020899,52.030732,-0.002610
1739046134,788.233333,33.424829,0,13265.085262,93.145628,0,0.011732,52.673749,-0.007354
1739046439,793.316667,32.904055,0,13069.658306,93.065456,0,0.013260,51.446944,-0.010348
1739046745,798.416667,33.102608,0,13130.462455,93.193476,0,0.018624,52.321038,0.002600
1739047355,808.583333,33.010513,0,13113.317967,93.055706,0,0.016074,52.260015,-0.009437
1739047964,818.733333,33.077384,0,13103.517883,93.313950,0,0.015443,51.893146,-0.007906
1739048574,828.900000,34.008969,0,13162.995668,95.508507,0,0.020375,52.438151,-0.012992
1739049490,844.166667,33.024442,0,13140.624797,92.901515,0,0.016864,52.490991,-0.009872
1739049795,849.250000,32.743591,0,13188.352233,91.778105,0,0.017035,52.359810,-0.011115
1739050404,859.400000,33.718999,0,13224.100700,94.256616,0,0.015359,52.518730,-0.006646
1739051013,869.550000,33.142163,0,13180.229241,92.952529,0,0.017169,52.310387,-0.006720
1739051927,884.783333,33.525635,0,13234.448050,93.642824,0,0.018818,52.513222,-0.005782
1739052538,894.966667,33.274944,0,13261.721378,92.751461,0,0.015810,52.703434,-0.007078
1739052843,900.050000,33.002028,0,13213.031556,92.329712,0,0.011391,52.682313,-0.003724
1739054062,920.366667,33.492579,0,13271.542798,93.289014,0,0.019591,52.643688,-0.015415
1739056198,955.966667,32.934630,0,13205.258687,92.195389,0,0.019149,52.607078,-0.005794
1739056503,961.050000,33.316666,0,13283.914711,92.712604,0,0.022786,52.464108,-0.011318
1739056808,966.133333,33.991419,0,13166.838664,95.431359,0,0.025123,51.288146,-0.020808
1739057113,971.216667,33.345457,0,13238.426512,93.111566,0,0.019813,52.621602,-0.004378
1739058028,986.466667,33.071067,0,13208.666293,92.553439,0,0.017037,52.465818,-0.012861
1739059856,1016.933333,33.885801,0,13191.053495,94.960194,0,0.016080,52.228997,-0.010464
1739060160,1022.000000,33.361417,0,13192.351625,93.481482,0,0.018538,52.462254,-0.013860
1739060467,1027.116667,32.941933,0,13158.662028,92.542381,0,0.011683,52.465695,-0.004013
1739061076,1037.266667,33.352668,0,13270.651547,92.905549,0,0.016887,52.724172,-0.004137
1739062294,1057.566667,33.863665,0,13309.596549,94.052943,0,0.009894,52.425301,-0.002726
1739063210,1072.833333,33.293693,0,13187.967496,93.322727,0,0.022089,52.337056,-0.005732
1739063515,1077.916667,33.075612,0,13202.841894,92.606994,0,0.014736,52.432982,-0.008359
1739064429,1093.150000,32.893902,0,13106.078620,92.778200,0,0.025675,52.149764,-0.003184
1739064734,1098.233333,33.693714,0,13124.043118,94.904010,0,0.015657,52.199382,-0.002684
1739065038,1103.300000,32.898550,0,13108.148669,92.776658,0,0.010680,52.295851,-0.003950
1739065648,1113.466667,33.528251,0,13272.385653,93.382443,0,0.014625,52.531311,-0.007893
1739066259,1123.650000,33.566807,0,13114.775211,94.613368,0,0.018868,52.304377,-0.005767
1739066868,1133.800000,33.169277,0,13199.784377,92.890754,0,0.013535,52.449281,-0.007232
1739067173,1138.883333,33.387958,0,13182.762469,93.623905,0,0.013922,52.604750,-0.008947
1739067477,1143.950000,32.891692,0,13169.894209,92.322435,0,0.017163,52.499718,-0.005317
1739067782,1149.033333,33.800909,0,13211.584730,94.575095,0,0.010899,52.462949,-0.007275
1739068087,1154.116667,33.235508,0,13185.541689,93.176774,0,0.018052,52.364869,-0.005400
1739068391,1159.183333,32.687118,0,13140.479312,91.953604,0,0.010852,52.474862,-0.009069
1739070526,1194.766667,32.712636,0,13196.380988,91.635556,0,0.016552,52.610100,-0.003856
1739071443,1210.050000,33.186741,0,13192.783713,92.988980,0,0.021619,52.208049,-0.001790
1739071747,1215.116667,33.954652,0,13134.808907,95.560595,0,0.024719,52.408425,-0.004659
1739072966,1235.433333,32.726863,0,13099.039510,92.356666,0,0.022567,52.354007,-0.003901
1739074187,1255.783333,33.393421,0,13063.933304,94.490963,0,0.022497,52.230521,-0.009095
1739074797,1265.950000,32.854790,0,13110.519623,92.636494,0,0.014272,52.347631,-0.006597
1739078455,1326.916667,32.696105,0,13069.448411,92.478779,0,0.021520,51.542112,0.004429
1739079676,1347.266667,33.301243,0,13179.381405,93.404701,0,0.015446,52.483393,-0.009386
1739081809,1382.816667,33.636839,0,13173.771491,94.386172,0,0.018832,52.491813,-0.005373
1739082113,1387.883333,32.927664,0,13103.060167,92.894823,0,0.015016,52.175196,-0.011436
1739082724,1398.066667,33.195166,0,13114.879285,93.565098,0,0.020938,52.284207,-0.008219
1739083333,1408.216667,35.045638,0,13108.449336,98.829359,0,0.015070,52.378086,-0.007915
1739084247,1423.450000,33.205828,0,13172.478593,93.185885,0,0.020309,52.416177,-0.011310
1739085163,1438.716667,32.945829,0,13090.267468,93.036903,0,0.011869,52.438958,-0.008318
1739085468,1443.800000,33.593728,0,13116.852588,94.674254,0,0.019778,52.441282,-0.004527
1739086078,1453.966667,33.703832,0,13119.784072,94.963325,0,0.013949,52.302080,0.000397
1739086382,1459.033333,33.040282,0,13131.917712,93.007703,0,0.021712,52.411024,-0.005902
1739086687,1464.116667,33.454662,0,13079.940052,94.548406,0,0.010940,52.327612,-0.010706
1739086992,1469.200000,33.489265,0,13147.515964,94.159736,0,0.019058,52.490203,-0.007354
1739087296,1474.266667,31.624830,0,13137.628948,88.984533,0,0.023622,47.492107,-0.017104
1739087600,1479.333333,32.888303,0,13071.068776,93.010867,0,0.012907,52.213438,-0.008120
1739088212,1489.533333,32.847127,0,13058.575758,92.983289,0,0.013288,52.350179,-0.006932
1739089430,1509.833333,32.581747,0,13130.599121,91.726146,0,0.019729,52.266162,-0.002312
1739089735,1514.916667,32.967123,0,13125.624895,92.846253,0,0.013327,52.299200,-0.004488
1739090650,1530.166667,33.080966,0,13128.094856,93.149345,0,0.018175,52.609434,-0.009267
1739091564,1545.400000,33.203700,0,13161.610199,93.256859,0,0.012372,52.805492,-0.001884
1739091869,1550.483333,33.487034,0,13120.781533,94.345307,0,0.009928,52.275799,-0.007290
1739093088,1570.800000,33.499381,0,13072.692955,94.727276,0,0.010591,52.238387,-0.002312
1739093396,1575.933333,32.760261,0,13020.846861,93.006104,0,0.013516,52.099610,-0.002246
1739094919,1601.316667,32.454385,0,13034.789779,92.039167,0,0.011820,52.291133,-0.007858
1739096445,1626.750000,32.884579,0,13039.780774,93.223482,0,0.009568,52.034649,-0.003840
1739096749,1631.816667,33.127603,0,13085.035414,93.587626,0,0.015699,52.255492,-0.004441
1739097359,1641.983333,33.275703,0,13088.326057,93.982383,0,0.009715,52.282419,-0.009048
1739098578,1662.300000,33.107539,0,13051.604189,93.770522,0,0.016253,52.175505,-0.007202
1739099190,1672.500000,32.602462,0,13090.781116,92.063643,0,0.013824,52.423934,-0.003552
1739100714,1697.900000,32.916140,0,13056.901784,93.190596,0,0.010337,52.308602,-0.001482
1739101324,1708.066667,33.377271,0,13199.333060,93.476440,0,0.012227,52.160375,-0.003918
1739101630,1713.166667,33.440915,0,13104.694031,94.331033,0,0.010763,52.377033,-0.008751
1739102545,1728.416667,33.159794,0,13080.083491,93.714033,0,0.012807,52.322932,-0.012578
1739103155,1738.583333,33.430870,0,13349.527589,92.573164,0,0.008329,52.860669,-0.002664
1739103459,1743.650000,32.766407,0,13186.828883,91.852667,0,0.013258,52.707947,-0.003324
1739103764,1748.733333,33.579282,0,13232.333609,93.807656,0,0.006529,52.606775,-0.006316
1739105289,1774.150000,33.919656,0,13245.476452,94.664506,0,0.009587,52.835147,-0.007610
1739106812,1799.533333,33.115425,0,13129.476693,93.236559,0,0.004133,51.959187,-0.001417
1739107118,1804.633333,32.600731,0,13102.839257,91.974037,0,0.014434,52.128839,-0.002958
1739107423,1809.716667,33.483675,0,13221.469257,93.617431,0,0.011117,52.181096,-0.005324
1739108641,1830.016667,32.657396,0,13204.289016,91.426027,0,0.012112,52.235823,-0.012051
1739109250,1840.166667,33.463191,0,13147.926952,94.083484,0,0.014128,51.989624,-0.013550
1739109861,1850.350000,32.839582,0,13054.818742,92.988684,0,0.012649,51.935254,-0.003987
1739110775,1865.583333,33.142341,0,13205.233813,92.777019,0,0.006903,52.268579,-0.002621
1739111081,1870.683333,33.361610,0,13197.355122,93.446583,0,0.018523,52.461427,-0.001377
1739111386,1875.766667,32.505981,0,13056.753582,92.030417,0,0.007639,52.083579,-0.007438
1739111691,1880.850000,33.853673,0,13325.260677,93.914664,0,0.001362,52.450003,-0.001173
1739111995,1885.916667,33.302465,0,13210.401760,93.188792,0,0.010426,51.925445,-0.004929
1739112301,1891.016667,33.279507,0,13144.614830,93.590624,0,0.012689,52.141192,-0.005339
1739112606,1896.100000,32.460965,0,13086.692226,91.692722,0,0.007725,52.249829,-0.006839
1739113215,1906.250000,33.735257,0,13142.515873,94.887463,0,0.017624,52.287103,-0.011810
1739113520,1911.333333,32.468165,0,13164.078698,91.173913,0,0.018779,52.182112,-0.011813
1739113827,1916.450000,32.714413,0,13173.200677,91.801791,0,0.010484,52.262859,-0.009131
1739114132,1921.533333,32.853108,0,13078.203722,92.860643,0,0.020905,52.093484,-0.011763
1739114436,1926.600000,33.128134,0,13064.268310,93.737897,0,0.013563,51.918732,-0.009880
1739114741,1931.683333,22.979082,0,12834.113839,66.186606,0,0.003973,38.895018,0.000317
1739115960,1952.000000,33.467736,0,13204.543940,93.692807,0,0.010886,52.448468,-0.007098
1739116265,1957.083333,31.438999,0,13070.882506,88.913382,0,0.009077,44.557451,-0.002935
1739116572,1962.200000,32.641064,0,13154.076928,91.729127,0,0.011885,52.520004,-0.005191
1739117182,1972.366667,33.542183,0,13306.636633,93.180783,0,0.018746,52.637110,-0.010683
1739117486,1977.433333,33.407864,0,13168.711504,93.779681,0,0.018701,52.579852,-0.012172
1739119010,2002.833333,32.735120,0,13207.732200,91.619729,0,0.010258,52.471680,-0.007482
1739119926,2018.100000,33.309454,0,13156.698952,93.588804,0,0.013321,52.379495,-0.007829
1739120536,2028.266667,33.382114,0,13189.803947,93.557545,0,0.020062,52.647735,-0.011016
1739121451,2043.516667,33.547010,0,13169.762143,94.162767,0,0.015023,52.368425,-0.007756
1739121756,2048.600000,33.706865,0,13207.917184,94.338147,0,0.016655,52.478727,-0.007761
1739122063,2053.716667,33.347071,0,13234.921795,93.140729,0,0.018571,52.499539,-0.012210
1739122977,2068.950000,32.638206,0,13142.362934,91.802847,0,0.016364,52.412340,-0.007299
1739124500,2094.333333,32.643931,0,13086.343497,92.212004,0,0.015756,52.087333,-0.010905
1739125110,2104.500000,33.792632,0,13184.971856,94.742781,0,0.013048,52.329323,-0.008744
1739125720,2114.666667,33.251288,0,13229.526498,92.911077,0,0.013508,52.434901,-0.006140
1739126329,2124.816667,26.462915,0,12993.089484,75.288488,0,0.029847,39.086796,-0.013551
1739126633,2129.883333,32.958570,0,13178.889885,92.447006,0,0.014713,52.650846,-0.007155
1739127853,2150.216667,32.290322,0,12927.392068,92.334664,0,0.017419,51.688703,-0.012738
1739128462,2160.366667,32.666751,0,12972.853384,93.083724,0,0.017061,51.591254,-0.009066
1739129680,2180.666667,33.596549,0,13036.691347,95.264393,0,0.011950,51.957496,-0.005533
1739131205,2206.083333,32.200981,0,12962.316074,91.831107,0,0.016152,51.826017,-0.008122
1739131510,2211.166667,32.943965,0,13009.369516,93.610149,0,0.016078,51.888540,-0.008665
1739132424,2226.400000,32.899317,0,12968.793245,93.775770,0,0.016546,51.183521,-0.015410
1739133643,2246.716667,32.411230,0,12780.808237,93.743359,0,0.016629,51.099243,-0.010365
1739133947,2251.783333,31.966101,0,12804.823625,92.282508,0,0.017822,51.320069,-0.009746
1739134252,2256.866667,31.914279,0,12830.960292,91.945230,0,0.018489,51.208263,-0.011620
1739136693,2297.550000,31.618331,0,12780.528522,91.452051,0,0.019189,51.233855,-0.012059
1739136997,2302.616667,33.230783,0,12912.625019,95.132598,0,0.012169,51.286267,-0.010956
1739137913,2317.883333,33.400979,0,12849.369911,96.090552,0,0.017570,51.112033,-0.012460
1739138217,2322.950000,32.137403,0,12806.438110,92.765341,0,0.016370,51.263501,-0.009712
1739138826,2333.100000,32.331997,0,12812.715315,93.281320,0,0.013643,51.069539,-0.006270
1739139436,2343.266667,31.983891,0,12811.689074,92.284387,0,0.017536,51.122082,-0.009004
1739140046,2353.433333,32.216417,0,12907.325952,92.266552,0,0.015802,51.296990,-0.005643
1739140351,2358.516667,32.445201,0,12787.020421,93.796024,0,0.015709,51.198666,-0.009778
1739140655,2363.583333,32.983190,0,12857.770121,94.826632,0,0.017753,51.146754,-0.009079
1739140960,2368.666667,32.012831,0,12790.675546,92.519638,0,0.013665,51.127159,-0.005352
1739141265,2373.750000,32.775730,0,12953.255814,93.535561,0,0.017411,51.344901,-0.015775
1739141570,2378.833333,32.640658,0,12832.546784,94.026306,0,0.012316,51.342377,-0.009423
1739142789,2399.150000,32.251549,0,12890.610004,92.486945,0,0.014405,51.337609,-0.012496
1739143094,2404.233333,32.351456,0,12933.372949,92.466698,0,0.016645,51.506048,-0.016628
1739143399,2409.316667,32.060916,0,12900.985897,91.866326,0,0.007496,51.529448,0.000200
1739144622,2429.700000,32.522758,0,12838.582908,93.642630,0,0.017744,51.459965,-0.007647
1739144926,2434.766667,31.913554,0,12765.760397,92.412731,0,0.012129,51.143499,-0.010368
1739145230,2439.833333,32.795032,0,12991.646430,93.314082,0,0.017527,51.597215,0.003905
1739146451,2460.183333,33.273381,0,12952.516367,94.961182,0,0.015775,51.384582,-0.000378
1739147365,2475.416667,33.332789,0,12947.292479,95.169113,0,0.014877,51.366041,-0.009703
1739147974,2485.566667,30.618523,0,12380.050683,91.425035,0,0.020360,49.848474,-0.013807
