Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,Icn_y,basic_freq_list
1742889679,64847.316667,29.725523,0,11878.171964,92.839557,0,0.027108,-0.003383,48.322606
1742890404,64859.400000,29.727074,0,11873.041158,92.801952,0,0.017702,-0.003043,48.497231
1742891190,64872.500000,30.465581,0,11912.905275,93.682776,0,0.027542,-0.004376,48.432020
1742891964,64885.400000,28.995237,0,11814.234118,91.708481,0,0.022091,-0.009934,48.097786
1742892739,64898.316667,29.794947,0,11899.476177,92.882882,0,0.020802,-0.004514,48.286730
1742893513,64911.216667,29.583760,0,11965.552565,92.405795,0,0.017722,-0.002565,48.789560
1742894285,64924.083333,30.269320,0,11977.174857,92.375038,0,0.025916,-0.005203,48.997218
1743061377,67708.950000,28.536089,0,11631.203815,91.896187,0,0.019448,-0.007082,48.004151
1743062026,67719.766667,29.672899,0,11626.495172,93.225889,0,0.024780,-0.006861,47.998776
1743062674,67730.566667,28.329686,0,11639.156582,91.796254,0,0.019917,-0.005771,48.002245
1743063322,67741.366667,29.379656,0,11677.885125,94.259892,0,0.028565,-0.008071,47.968665
1743063971,67752.183333,29.047026,0,11631.475053,92.343373,0,0.027925,-0.007790,47.871897
1743064620,67763.000000,28.762354,0,11570.450878,90.984780,0,0.017072,-0.008476,47.665618
1743065269,67773.816667,28.527165,0,11624.228507,92.140960,0,0.015731,-0.005358,47.782176
1743065919,67784.650000,28.283234,0,11596.228846,93.202081,0,0.029248,-0.005188,47.813551
1743066568,67795.466667,29.524046,0,11669.814715,92.455110,0,0.014860,-0.008047,47.789888
1743067220,67806.333333,29.465192,0,11683.139045,92.621293,0,0.024976,-0.007461,47.790425
1743067869,67817.150000,29.445323,0,11667.769799,91.365730,0,0.026983,-0.005104,48.005698
1743068521,67828.016667,28.551122,0,11617.795852,92.123972,0,0.024537,-0.004549,47.815527
1743069172,67838.866667,29.210805,0,11708.072184,93.963301,0,0.018263,-0.005791,47.940571
1743069826,67849.766667,29.148961,0,11680.008758,93.983096,0,0.022899,-0.004240,48.056046
1743070494,67860.900000,28.859680,0,11642.461746,93.009798,0,0.022505,-0.008288,47.831638
1743071164,67872.066667,29.455280,0,11682.717608,93.215851,0,0.023476,0.000470,47.852839
1743071831,67883.183333,29.410240,0,11683.994784,93.188318,0,0.017221,-0.009710,47.670162
1743072502,67894.366667,29.758165,0,11715.060390,93.941019,0,0.018599,-0.005446,47.784475
1743073167,67905.450000,30.231080,0,11720.986158,94.040556,0,0.029947,-0.005375,47.969769
1743073837,67916.616667,29.718393,0,11660.812079,92.724778,0,0.022555,-0.006109,47.980877
1743074504,67927.733333,29.229986,0,11675.175924,92.474249,0,0.018283,-0.013684,47.785648
1743075171,67938.850000,29.149080,0,11677.377545,92.424825,0,0.021817,-0.007415,47.890637
1743075838,67949.966667,28.986036,0,11605.700959,92.548463,0,0.018631,-0.012366,47.780168
1743076506,67961.100000,29.642956,0,11691.332281,92.614142,0,0.015958,-0.002987,47.863893
1743077175,67972.250000,28.232440,0,11590.373780,92.127405,0,0.023386,-0.004497,47.572397
1743077840,67983.333333,29.187628,0,11643.102077,93.101810,0,0.022090,-0.002307,47.820818
1743078512,67994.533333,29.182006,0,11721.924149,94.187595,0,0.026159,-0.000163,47.832862
1743079177,68005.616667,29.085275,0,11683.408496,93.208485,0,0.017784,-0.008089,47.681965
1743079847,68016.783333,28.748490,0,11672.417616,92.148021,0,0.022324,-0.002518,47.825313
1743080516,68027.933333,28.782070,0,11706.287318,92.629219,0,0.023140,-0.003758,47.805093
1743081182,68039.033333,29.853029,0,11713.483512,92.402637,0,0.014729,-0.004987,48.110362
1743081853,68050.216667,29.811815,0,11684.606070,93.375105,0,0.021429,-0.001848,47.852229
1743082518,68061.300000,29.146553,0,11678.828030,91.809232,0,0.016298,0.001744,47.964541
1743083175,68072.250000,29.960923,0,11770.145574,93.483937,0,0.021107,-0.008369,48.043832
1743083823,68083.050000,29.217196,0,11743.245177,92.436904,0,0.023324,-0.005891,48.065541
1743084471,68093.850000,29.645594,0,11694.704398,92.195592,0,0.017838,-0.005539,48.071596
1743085119,68104.650000,29.025245,0,11678.548723,93.064426,0,0.015540,-0.005019,47.933309
1743085766,68115.433333,29.474926,0,11730.036125,92.849420,0,0.018141,-0.004573,47.877089
1743086414,68126.233333,28.881394,0,11762.913213,93.633546,0,0.021189,-0.006443,48.145127
1743087061,68137.016667,29.402400,0,11773.046641,93.286999,0,0.017832,-0.008048,48.238236
1743087709,68147.816667,29.387169,0,11704.000162,94.097968,0,0.021420,-0.000767,48.124881
1743088356,68158.600000,29.434236,0,11720.047696,93.776794,0,0.015845,-0.003735,48.049867
1743089003,68169.383333,29.259727,0,11678.384040,93.097240,0,0.019243,-0.008576,48.097730
1743089650,68180.166667,29.126384,0,11841.511582,92.576791,0,0.019164,-0.003383,48.397316
1743090297,68190.950000,29.396063,0,11642.742885,92.093076,0,0.022552,-0.010143,47.925464
1743090945,68201.750000,29.870991,0,11719.275415,92.749325,0,0.019198,-0.001273,48.095678
1743091592,68212.533333,29.421572,0,11620.302332,90.518086,0,0.020340,-0.005360,48.031482
1743092238,68223.300000,29.172810,0,11704.812348,93.987163,0,0.028298,0.003580,47.981731
1743092886,68234.100000,29.680307,0,11773.430517,92.778324,0,0.017685,-0.007206,48.513242
1743093533,68244.883333,28.815357,0,11772.989752,92.366618,0,0.015681,-0.004185,48.328170
1743094180,68255.666667,28.346613,0,11751.948020,91.124491,0,0.017519,-0.009689,48.179742
1743094827,68266.450000,28.983486,0,11747.683473,92.071067,0,0.023153,-0.006509,48.327455
1743095473,68277.216667,30.119879,0,11784.452792,93.767886,0,0.017796,-0.006574,48.354348
1743096121,68288.016667,29.833123,0,11723.881380,92.216455,0,0.018802,0.000053,48.247654
1743096768,68298.800000,29.468929,0,11658.121878,90.829137,0,0.018102,-0.003979,47.996650
