Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,basic_freq_list,Icn_y
1741576906,42967.766667,29.380075,0,11794.765186,92.080341,0,0.014745,47.857603,-0.008033
1741577533,42978.216667,29.237854,0,11681.158583,92.525811,0,0.019420,47.765380,-0.004146
1741578161,42988.683333,29.002099,0,11655.223103,91.983974,0,0.016836,47.620124,-0.005813
1741578801,42999.350000,29.790680,0,11746.920196,93.747505,0,0.021558,47.650753,-0.004285
1741579425,43009.750000,29.837015,0,11743.896914,93.917489,0,0.019890,47.721426,-0.003874
1741580064,43020.400000,29.946481,0,11772.123895,94.036032,0,0.010215,47.721985,-0.008448
1741580689,43030.816667,29.375743,0,11714.805107,92.695171,0,0.022390,47.614974,-0.002408
1741581327,43041.450000,28.989669,0,11623.231838,92.197613,0,0.018042,47.553247,-0.006673
1741581952,43051.866667,29.924603,0,11755.599258,94.099419,0,0.016175,47.691507,-0.004657
1741582578,43062.300000,29.512179,0,11714.845834,93.125371,0,0.016712,47.711394,-0.004115
1741583207,43072.783333,29.010810,0,11710.211230,91.579539,0,0.016136,47.888276,-0.003412
1741583835,43083.250000,29.655335,0,11682.958518,93.832506,0,0.019017,47.674128,-0.004141
1741584463,43093.716667,29.094546,0,11715.921106,91.799110,0,0.023173,48.100456,-0.009362
1741585091,43104.183333,29.386492,0,11701.557999,92.834067,0,0.017903,47.835997,-0.008454
1741585737,43114.950000,29.193964,0,11649.931351,92.634558,0,0.027816,47.755559,-0.008679
1741586361,43125.350000,28.869741,0,11631.168169,91.753551,0,0.032958,47.969388,-0.005101
1741586999,43135.983333,28.889195,0,11606.080224,92.013847,0,0.027240,47.601523,-0.009249
1741587624,43146.400000,29.379356,0,11668.990795,93.070553,0,0.032204,47.715884,-0.018090
1741588263,43157.050000,29.170952,0,11712.353814,92.068220,0,0.028995,47.973156,-0.009908
1741588888,43167.466667,29.207704,0,11627.954498,92.853317,0,0.025219,47.869645,-0.007296
1741589527,43178.116667,29.349570,0,11713.154482,92.625634,0,0.027303,47.985549,-0.008959
1741590151,43188.516667,29.259776,0,11695.950639,92.478079,0,0.034457,47.873660,-0.001802
1741590790,43199.166667,28.922265,0,11610.063157,92.087577,0,0.027543,47.897747,-0.012736
1741591414,43209.566667,29.115219,0,11667.738504,92.243695,0,0.026812,47.976669,-0.002626
