Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list
1739051013,869.550000,33.142163,0.000000,13180.229241,92.952529,0
1739051927,884.783333,33.525635,0.000000,13234.448050,93.642824,0
1739052538,894.966667,33.274944,0.000000,13261.721378,92.751461,0
1739052843,900.050000,33.002028,0.000000,13213.031556,92.329712,0
1739054062,920.366667,33.492579,0.000000,13271.542798,93.289014,0
1739056198,955.966667,32.934630,0.000000,13205.258687,92.195389,0
1739056503,961.050000,33.316666,0.000000,13283.914711,92.712604,0
1739056808,966.133333,33.991419,0.000000,13166.838664,95.431359,0
1739057113,971.216667,33.345457,0.000000,13238.426512,93.111566,0
1739058028,986.466667,33.071067,0.000000,13208.666293,92.553439,0
1739059856,1016.933333,33.885801,0.000000,13191.053495,94.960194,0
1739060160,1022.000000,33.361417,0.000000,13192.351625,93.481482,0
1739060467,1027.116667,32.941933,0.000000,13158.662028,92.542381,0
1739061076,1037.266667,33.352668,0.000000,13270.651547,92.905549,0
1739062294,1057.566667,33.863665,0.000000,13309.596549,94.052943,0
1739063210,1072.833333,33.293693,0.000000,13187.967496,93.322727,0
1739063515,1077.916667,33.075612,0.000000,13202.841894,92.606994,0
1739064429,1093.150000,32.893902,0.000000,13106.078620,92.778200,0
1739064734,1098.233333,33.693714,0.000000,13124.043118,94.904010,0
1739065038,1103.300000,32.898550,0.000000,13108.148669,92.776658,0
1739065648,1113.466667,33.528251,0.000000,13272.385653,93.382443,0
1739066259,1123.650000,33.566807,0.000000,13114.775211,94.613368,0
1739066868,1133.800000,33.169277,0.000000,13199.784377,92.890754,0
1739067173,1138.883333,33.387958,0.000000,13182.762469,93.623905,0
1739067477,1143.950000,32.891692,0.000000,13169.894209,92.322435,0
1739067782,1149.033333,33.800909,0.000000,13211.584730,94.575095,0
1739068087,1154.116667,33.235508,0.000000,13185.541689,93.176774,0
1739068391,1159.183333,32.687118,0.000000,13140.479312,91.953604,0
1739070526,1194.766667,32.712636,0.000000,13196.380988,91.635556,0
1739071443,1210.050000,33.186741,0.000000,13192.783713,92.988980,0
1739071747,1215.116667,33.954652,0.000000,13134.808907,95.560595,0
1739072966,1235.433333,32.726863,0.000000,13099.039510,92.356666,0
1739074187,1255.783333,33.393421,0.000000,13063.933304,94.490963,0
1739074797,1265.950000,32.854790,0.000000,13110.519623,92.636494,0
1739078455,1326.916667,32.696105,0.000000,13069.448411,92.478779,0
1739079676,1347.266667,33.301243,0.000000,13179.381405,93.404701,0
1739081809,1382.816667,33.636839,0.000000,13173.771491,94.386172,0
1739082113,1387.883333,32.927664,0.000000,13103.060167,92.894823,0
1739082724,1398.066667,33.195166,0.000000,13114.879285,93.565098,0
1739083333,1408.216667,35.045638,0.000000,13108.449336,98.829359,0
1739084247,1423.450000,33.205828,0.000000,13172.478593,93.185885,0
1739085163,1438.716667,32.945829,0.000000,13090.267468,93.036903,0
1739085468,1443.800000,33.593728,0.000000,13116.852588,94.674254,0
1739086078,1453.966667,33.703832,0.000000,13119.784072,94.963325,0
1739086382,1459.033333,33.040282,0.000000,13131.917712,93.007703,0
1739086687,1464.116667,33.454662,0.000000,13079.940052,94.548406,0
1739086992,1469.200000,33.489265,0.000000,13147.515964,94.159736,0
