Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list
1739093089,1549.816667,20.108722,0,9077.623121,81.887128,0
1739093397,1554.950000,20.610140,0,9172.253248,83.063117,0
1739093702,1560.033333,21.030788,0,9137.947064,85.076620,0
1739095225,1585.416667,20.452032,0,9129.073329,82.815778,0
1739096446,1605.766667,20.615802,0,9174.993026,83.061126,0
1739096751,1610.850000,19.748690,0,9179.328897,79.529944,0
1739097360,1621.000000,20.178908,0,9091.363016,82.048752,0
1739097665,1626.083333,20.715027,0,9056.476650,84.553105,0
1739098275,1636.250000,20.521530,0,9123.135830,83.151278,0
1739098580,1641.333333,20.145443,0,9099.877623,81.836037,0
1739099496,1656.600000,20.407916,0,9087.659085,83.013733,0
1739100106,1666.766667,20.038762,0,9054.118148,81.814082,0
1739101020,1682.000000,20.383353,0,9082.050507,82.965023,0
1739101325,1687.083333,20.497731,0,9099.606708,83.269603,0
1739101631,1692.183333,20.547100,0,9016.599261,84.238591,0
1739102546,1707.433333,20.755352,0,9084.683141,84.454664,0
1739103460,1722.666667,20.459137,0,9137.390541,82.769141,0
1739104681,1743.016667,20.949760,0,9162.579704,84.520996,0
1739105595,1758.250000,20.889149,0,9121.211115,84.658696,0
1739105899,1763.316667,20.417461,0,9102.186217,82.920009,0
1739106204,1768.400000,20.430880,0,9082.308946,83.156104,0
1739106814,1778.566667,20.437760,0,9023.542594,83.725846,0
1739107119,1783.650000,20.079803,0,9079.686578,81.750782,0
1739107424,1788.733333,20.566695,0,9080.223429,83.728112,0
1739109251,1819.183333,20.439293,0,9046.947534,83.515506,0
1739109556,1824.266667,19.828476,0,9026.173816,81.206159,0
1739110166,1834.433333,20.512974,0,9036.946599,83.909325,0
1739112912,1880.200000,21.121046,0,9114.621873,85.660399,0
1739113521,1890.350000,20.454167,0,8976.250190,84.234533,0
1739114133,1900.550000,20.431768,0,9020.070054,83.733524,0
1739115351,1920.850000,20.071948,0,9050.546136,81.981916,0
1739115961,1931.016667,20.671424,0,9152.559503,83.489365,0
1739116878,1946.300000,20.285767,0,9040.256415,82.949546,0
1739117183,1951.383333,20.931260,0,9076.339707,85.248739,0
1739117487,1956.450000,20.171374,0,9076.325313,82.154009,0
1739117792,1961.533333,19.878891,0,9138.885099,80.408556,0
1739118402,1971.700000,20.649184,0,9154.497330,83.381885,0
1739120537,2007.283333,20.519841,0,9059.722581,83.726400,0
1739120842,2012.366667,20.466504,0,9162.873393,82.568672,0
1739121757,2027.616667,20.834549,0,9164.347398,84.039970,0
1739122064,2032.733333,20.689118,0,9121.861681,83.842037,0
1739122368,2037.800000,20.075653,0,9109.321747,81.467984,0
1739122978,2047.966667,20.302668,0,9018.242873,83.221302,0
1739123282,2053.033333,20.449747,0,9184.002176,82.311266,0
1739123587,2058.116667,20.369012,0,9070.629954,83.011036,0
1739126939,2113.983333,20.125610,0,9044.157302,82.259161,0
1739127854,2129.233333,20.584881,0,9023.971483,84.324539,0
1739129377,2154.616667,21.337176,0,9081.113683,86.856266,0
1739129986,2164.766667,20.494062,0,9117.812281,83.088464,0
1739130292,2169.866667,20.130572,0,9104.810260,81.731327,0
1739130597,2174.950000,21.137081,0,9087.980330,85.976736,0
1739131206,2185.100000,20.382049,0,9127.506851,82.546564,0
1739133035,2215.583333,19.990117,0,9090.568124,81.288222,0
1739133340,2220.666667,19.993148,0,9031.623094,81.831159,0
1739135780,2261.333333,20.434136,0,9089.006736,83.108065,0
1739136998,2281.633333,19.841986,0,9079.159463,80.787249,0
1739137914,2296.900000,20.869355,0,9065.406937,85.099117,0
1739139133,2317.216667,19.989825,0,9061.755242,81.545496,0
1739140352,2337.533333,20.842233,0,9135.204950,84.339161,0
1739140656,2342.600000,20.460159,0,9082.820398,83.270582,0
1739142485,2373.083333,20.724546,0,9065.672554,84.506153,0
1739144009,2398.483333,20.383853,0,9131.149521,82.520936,0
1739144623,2408.716667,20.548051,0,9092.646766,83.537917,0
1739144927,2413.783333,20.394055,0,9070.142757,83.117559,0
1739145537,2423.950000,20.412346,0,9119.515119,82.741710,0
1739147061,2449.350000,20.438285,0,9033.869272,83.632286,0
1739148280,2469.666667,20.672082,0,9111.008136,83.872792,0
1739149806,2495.100000,20.192082,0,9026.074005,82.696196,0
1739150111,2500.183333,20.273304,0,9145.492268,81.944681,0
1739150416,2505.266667,20.351621,0,9072.061606,82.927072,0
1739150720,2510.333333,20.290325,0,9108.189751,82.349367,0
1739151635,2525.583333,20.578747,0,9072.460291,83.848864,0
1739151940,2530.666667,20.571027,0,9097.872772,83.583285,0
1739152854,2545.900000,20.335231,0,9057.011158,82.997983,0
1739153463,2556.050000,19.335416,0,8989.047392,79.513920,0
1739154377,2571.283333,20.680447,0,9130.595367,83.726734,0
1739154970,2581.166667,20.667430,0,8879.288578,86.042225,0
1739156172,2601.200000,20.528049,0,9091.902523,83.463430,0
1739157381,2621.350000,21.326673,0,9071.751341,86.903104,0
1739157987,2631.450000,20.269095,0,9176.610187,81.649851,0
1739158592,2641.533333,20.434365,0,9031.395671,83.639149,0
1739159801,2661.683333,20.055917,0,9091.462619,81.547770,0
1739160405,2671.750000,20.678150,0,9060.964949,84.360775,0
1739162219,2701.983333,19.699396,0,9041.635077,80.539560,0
1739162825,2712.083333,20.507606,0,9039.525409,83.863436,0
1739165244,2752.400000,20.267252,0,9029.674901,82.970953,0
1739165849,2762.483333,20.241961,0,9084.996401,82.362809,0
1739171854,2862.566667,19.964699,0,9006.136089,81.945967,0
1739172460,2872.666667,19.585231,0,8977.297173,80.646667,0
1739174474,2906.233333,20.534284,0,9059.327988,83.788981,0
1739176894,2946.566667,20.112883,0,9047.046395,82.180889,0
1739177501,2956.683333,20.512421,0,9056.239682,83.728313,0
1739179316,2986.933333,20.368843,0,9112.505926,82.628878,0
1739180527,3007.116667,20.324484,0,9064.208135,82.888254,0
1739181132,3017.200000,20.379623,0,9059.580953,83.155574,0
1739182341,3037.350000,20.891138,0,9094.326921,84.917042,0
1739184761,3077.683333,20.244950,0,9046.643068,82.724200,0
1739185366,3087.766667,20.311941,0,9016.351483,83.276780,0
1739185972,3097.866667,20.435824,0,9007.998245,83.862381,0
1739186576,3107.933333,21.289998,0,9172.356675,85.802117,0
1739187786,3128.100000,20.871478,0,9058.130462,85.176140,0
1739188390,3138.166667,20.189198,0,9071.265461,82.272464,0
1739188995,3148.250000,20.243594,0,9028.021878,82.889276,0
1739190205,3168.416667,20.482410,0,9072.287364,83.457926,0
1739192019,3198.650000,20.311241,0,9144.319548,82.108549,0
1739193832,3228.866667,20.662673,0,9164.434817,83.345879,0
1739198065,3299.416667,20.171364,0,9056.474402,82.334038,0
1739199275,3319.583333,20.685387,0,9160.152493,83.476506,0
1739199880,3329.666667,20.402728,0,9063.987546,83.209374,0
1739200485,3339.750000,19.867422,0,9044.575147,81.200118,0
1739202904,3380.066667,20.572745,0,9067.357153,83.871583,0
1739204114,3400.233333,20.342635,0,8991.642392,83.631813,0
