Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,Icn_y,basic_freq_list
1739764828,12745.466667,19.123197,512.786865,5982.003154,75.369920,0,0.027704,-0.011500,16.345436
1739765241,12752.350000,20.297432,436.706543,5895.590403,40.393473,0,0.005882,-0.003867,13.450286
1739765887,12763.116667,21.012659,663.665771,5733.673355,28.214715,0,0.010549,-0.010521,18.235303
1739766549,12774.150000,18.779297,822.235107,5687.248964,38.170117,0,0.014220,-0.014143,20.744795
1739767194,12784.900000,20.646645,759.979248,5633.627563,32.185142,0,0.019837,-0.019753,20.645131
1739767853,12795.883333,20.230483,882.934570,5712.766573,31.899978,0,0.014301,-0.012849,26.714578
1739768498,12806.633333,20.486036,388.366699,6022.608642,30.517221,0,0.023374,-0.023197,15.542610
1739769157,12817.616667,20.629846,624.664307,5780.695747,37.828922,0,0.010470,-0.010444,30.570277
1739769802,12828.366667,19.525376,721.069336,5662.468265,32.052735,0,0.015180,-0.015142,19.420390
1739770461,12839.350000,21.270159,451.354980,5935.267407,34.069863,0,0.011212,-0.011169,20.996376
1739771105,12850.083333,19.502348,956.359863,5863.688800,37.765183,0,0.015173,-0.014992,29.004071
1739771761,12861.016667,21.568655,489.532471,5916.896265,30.434491,0,0.019792,-0.018216,14.352078
1739772405,12871.750000,20.185909,623.107910,5959.857146,62.918650,0,0.014967,-0.014946,18.985769
1739773061,12882.683333,20.143101,831.024170,5900.542401,32.983804,0,0.006668,-0.006428,23.870127
1739773707,12893.450000,19.705686,705.688477,5910.682620,32.054831,0,0.013623,-0.013621,23.417495
1739774364,12904.400000,20.818637,768.585205,5729.859024,36.396155,0,0.021159,-0.021142,14.696468
1739775012,12915.200000,21.339545,599.945068,5466.744850,37.232564,0,0.006464,0.000428,17.900626
1739775686,12926.433333,20.738549,303.222656,5720.366911,30.075380,0,0.015220,-0.013198,26.447777
1739776332,12937.200000,19.587368,959.747314,5768.537405,37.616811,0,0.009840,-0.009538,15.028955
1739776997,12948.283333,20.434650,438.079834,5818.550555,27.576196,0,0.016056,-0.015734,21.986100
1739777644,12959.066667,23.054087,812.347412,5882.969314,38.042783,0,0.008635,-0.005542,23.691297
1739778309,12970.150000,19.392981,967.437744,5979.615597,44.228388,0,0.015541,-0.015426,26.922627
1739778956,12980.933333,21.670777,571.380615,5720.758736,32.056274,0,0.011695,-0.009380,17.226163
1739779618,12991.966667,19.877094,1026.306152,5920.511210,38.332074,0,0.017911,-0.015231,25.787644
1739780263,13002.716667,20.815016,850.250244,5688.288039,51.135396,0,0.018374,-0.018366,13.743172
1739780919,13013.650000,21.651836,484.222412,5987.729921,31.134772,0,0.017691,-0.017046,20.904851
1739781564,13024.400000,19.786450,639.221191,5865.065293,41.384897,0,0.009465,-0.003132,15.261775
1739782220,13035.333333,20.459040,796.142578,5975.589653,41.874109,0,0.015186,-0.015133,20.358226
1739782864,13046.066667,21.271489,637.664795,5962.773476,35.907578,0,0.017199,-0.014804,22.109248
1739783520,13057.000000,20.193409,728.210449,5821.785891,29.708738,0,0.017420,-0.016237,19.573426
1739784164,13067.733333,21.599205,552.246094,5903.523893,40.826945,0,0.021640,-0.020788,30.401416
1739784820,13078.666667,19.681609,851.806641,5816.351354,33.272693,0,0.012713,-0.008356,17.091079
1739785465,13089.416667,19.616757,788.818359,6014.417880,32.943750,0,0.007146,-0.006650,26.100594
1739786119,13100.316667,21.434499,629.333496,5949.873438,34.489703,0,0.010630,-0.010041,24.351733
1739786764,13111.066667,20.551598,883.666992,5893.083319,38.600488,0,0.017596,-0.015681,15.901747
1739787420,13122.000000,19.688150,823.883057,5928.302895,43.841744,0,0.009352,-0.008990,25.305689
1739788064,13132.733333,20.954668,1028.686523,5696.637165,46.966730,0,0.013864,-0.012674,14.667157
1739788720,13143.666667,20.832403,611.114502,6051.622284,31.623740,0,0.016487,-0.016486,22.911495
1739789365,13154.416667,18.786947,969.451904,5908.071746,34.889279,0,0.010705,-0.010682,20.776833
1739790021,13165.350000,20.402327,694.793701,5968.718967,35.323975,0,0.011027,-0.007403,25.111892
1739790665,13176.083333,20.310509,776.550293,5908.618176,33.962312,0,0.007571,-0.005875,28.301069
1739791322,13187.033333,24.197812,1130.767822,5747.963620,33.018584,0,0.021103,-0.020270,19.929182
1739791965,13197.750000,20.209776,860.595703,5911.848749,34.671315,0,0.013104,-0.012120,25.901260
1739792622,13208.700000,20.424028,769.592285,5918.870593,37.458232,0,0.018267,-0.014027,18.024459
1739793266,13219.433333,19.713847,816.375732,5900.998472,30.890576,0,0.019851,-0.016686,24.012159
1739793921,13230.350000,20.904577,492.279053,5968.664856,40.518188,0,0.017099,-0.016720,19.718376
1739794565,13241.083333,18.860997,673.187256,5799.410212,37.095086,0,0.002851,-0.002709,18.532322
1739795221,13252.016667,19.219240,884.033203,5962.286310,36.958161,0,0.013156,-0.011624,29.920950
1739795866,13262.766667,20.857145,626.770020,5958.463890,37.177027,0,0.005043,-0.004771,14.221384
1739796521,13273.683333,20.760453,752.380371,6003.525077,38.542228,0,0.009301,-0.007199,29.645419
1739797165,13284.416667,19.912588,834.228516,5821.647277,35.130414,0,0.011337,-0.010140,16.610944
1739797822,13295.366667,19.897263,789.459229,5930.607857,39.189218,0,0.024075,-0.023292,23.778367
1739798467,13306.116667,21.037475,651.489258,5981.653031,45.029066,0,0.006321,-0.006309,22.388903
1739799123,13317.050000,19.157430,798.706055,5892.776551,31.732064,0,0.008505,-0.008504,25.932595
1739799767,13327.783333,19.172599,770.416260,5857.101199,43.612501,0,0.009803,-0.005753,16.966795
1739800423,13338.716667,18.780540,692.230225,5865.439150,37.148709,0,0.021376,-0.021376,16.547346
1739801068,13349.466667,20.490181,703.582764,5975.832249,35.837951,0,0.013023,-0.012746,15.951489
1739801723,13360.383333,19.870155,830.657959,5837.780062,31.664562,0,0.011613,-0.009784,17.393343
1739802367,13371.116667,21.176739,389.923096,6124.812387,40.133458,0,0.012397,-0.012104,19.318628
1739803023,13382.050000,18.986343,805.572510,5849.346905,33.893344,0,0.017911,-0.016021,27.320117
1739803670,13392.833333,21.241239,407.775879,5757.700846,39.350274,0,0.011109,-0.010705,16.475247
1739804327,13403.783333,21.162792,476.898193,5988.797592,35.847114,0,0.008727,-0.001085,20.132026
1739804972,13414.533333,19.320536,896.575928,5751.847480,38.342484,0,0.012835,-0.012798,20.411823
1739805629,13425.483333,20.630344,646.636963,5929.290949,33.787926,0,0.012538,-0.011600,24.189084
1739806273,13436.216667,20.767742,686.096191,5966.584999,37.223822,0,0.013103,-0.012115,21.972984
1739806929,13447.150000,20.018986,746.612549,5873.335225,42.093584,0,0.018218,-0.016996,23.675405
1739807574,13457.900000,19.901672,946.838379,5927.323669,38.680688,0,0.008460,-0.000946,21.528594
1739808228,13468.800000,18.980336,849.517822,5906.585842,38.668534,0,0.011453,-0.011193,24.201099
1739808873,13479.550000,19.742259,667.785645,5944.945919,32.620101,0,0.008522,-0.008485,23.035229
1739809529,13490.483333,19.648788,525.604248,5973.958729,39.744149,0,0.014537,-0.014105,18.300057
1739810173,13501.216667,20.754251,739.471436,5911.517454,38.133818,0,0.010808,-0.010720,21.826038
1739810830,13512.166667,22.131492,457.946777,6036.509697,33.196932,0,0.015707,-0.015682,23.938380
1739811475,13522.916667,19.481168,659.271240,5778.361382,34.013099,0,0.011213,-0.010210,16.112689
1739812131,13533.850000,18.951727,840.545654,5894.818109,50.595442,0,0.013107,-0.012941,22.372211
1739812775,13544.583333,20.039432,855.468750,5863.413855,32.432094,0,0.013617,-0.013205,16.621965
1739813431,13555.516667,21.396301,1049.102783,5894.723150,39.013605,0,0.011252,-0.011188,25.666022
1739814076,13566.266667,19.479961,723.175049,5967.385732,33.849846,0,0.012293,-0.012272,25.864419
1739814732,13577.200000,20.209703,646.270752,5831.766295,36.376910,0,0.006782,-0.000287,15.431634
1739815377,13587.950000,19.256269,744.689941,5890.543611,34.992609,0,0.017572,-0.015611,21.494753
1739816032,13598.866667,19.681883,733.428955,5625.757496,43.177390,0,0.014807,-0.014728,20.503466
1739816677,13609.616667,19.606185,837.707520,5968.678668,32.402446,0,0.017364,-0.017245,24.969570
1739817333,13620.550000,20.490886,758.605957,5911.805346,30.064793,0,0.010773,-0.010600,25.924736
1739817979,13631.316667,19.153153,869.659424,5760.926083,37.469099,0,0.013151,-0.012227,12.720388
1739818633,13642.216667,20.926350,755.859375,5997.521607,38.926961,0,0.017085,-0.016395,22.079325
1739819279,13652.983333,19.734580,700.653076,5914.024590,38.807879,0,0.014782,-0.014580,21.623491
1739819934,13663.900000,20.846558,692.138672,5931.106832,33.504902,0,0.017218,-0.017185,19.353675
1739820580,13674.666667,20.048918,884.857178,5795.267118,36.487978,0,0.017627,-0.015991,16.760517
1739821236,13685.600000,22.081813,469.390869,6054.318277,32.102585,0,0.015816,-0.014130,22.030764
1739821881,13696.350000,20.172649,752.014160,5994.103275,38.328870,0,0.011385,-0.008843,16.688671
1739822537,13707.283333,20.046720,720.428467,5922.176965,32.191714,0,0.013685,-0.013423,25.160952
1739823181,13718.016667,21.216331,30.670166,6463.979190,31.656919,0,0.006659,-0.006607,25.089615
1739823838,13728.966667,21.204051,213.592529,6485.707260,34.017756,0,0.010887,-0.008302,18.662916
1739824482,13739.700000,20.248340,748.626709,5985.277927,32.618564,0,0.023049,-0.022916,26.562734
1739825139,13750.650000,21.113483,868.469238,5904.916166,37.701037,0,0.012774,-0.012714,17.377627
1739825784,13761.400000,20.711636,654.327393,6033.222048,36.710509,0,0.004105,-0.000661,26.446780
1739826439,13772.316667,21.206159,807.312012,5982.166256,32.683586,0,0.013061,-0.013009,21.017979
1739827085,13783.083333,19.324135,746.520996,5909.810289,29.819623,0,0.018724,-0.015303,16.014176
1739827740,13794.000000,20.255239,817.474365,5964.784993,34.409441,0,0.021240,-0.020993,27.006674
1739828386,13804.766667,20.186631,720.336914,5836.401335,40.594934,0,0.020567,-0.020567,17.249442
1739829041,13815.683333,19.998487,835.052490,5959.170458,38.736502,0,0.006509,-0.005426,19.598133
1739829686,13826.433333,21.495573,441.467285,5908.857903,29.898588,0,0.008557,-0.008294,18.860047
1739830343,13837.383333,19.788743,829.559326,5998.785229,32.994539,0,0.017493,-0.017308,23.918742
1739830986,13848.100000,21.663916,651.031494,6086.874602,33.160681,0,0.007227,-0.003280,27.202000
1739831645,13859.083333,19.732325,667.602539,5612.295441,34.051283,0,0.005604,-0.005546,14.474750
1739832288,13869.800000,21.117473,817.749023,6011.841968,33.305823,0,0.008271,-0.005305,30.521326
1739832945,13880.750000,20.465969,796.508789,5982.777264,37.357260,0,0.001873,-0.001621,15.266815
1739833589,13891.483333,21.015209,300.933838,6211.044258,37.444876,0,0.010999,-0.004507,21.738151
1739834245,13902.416667,21.933215,618.804932,5809.358259,30.881352,0,0.005336,-0.004798,11.832737
1739834890,13913.166667,21.326351,743.774414,5952.168893,33.382216,0,0.005568,-0.004056,24.724560
1739835545,13924.083333,20.443147,894.470215,5953.772333,31.484839,0,0.019206,-0.018988,18.040365
1739836190,13934.833333,19.405769,695.983887,5897.049825,34.031142,0,0.007654,-0.007594,19.539876
1739836846,13945.766667,19.626594,959.564209,5890.924691,33.391792,0,0.016986,-0.016978,19.863472
1739837490,13956.500000,20.279483,865.539551,5577.030767,37.392060,0,0.016484,-0.015037,23.529754
1739838147,13967.450000,20.966710,732.788086,5949.189646,33.249410,0,0.014798,-0.013448,30.463420
1739838791,13978.183333,20.229311,712.097168,5942.489053,36.252156,0,0.010183,-0.009294,29.993331
1739839447,13989.116667,21.106267,407.226562,5728.156269,39.907419,0,0.006033,-0.005918,14.424826
1739840091,13999.850000,19.914803,950.683594,5876.893539,32.999445,0,0.017124,-0.015363,21.315911
1739840746,14010.766667,19.666936,863.616943,5865.328280,33.425825,0,0.011007,-0.008746,24.085730
1739841390,14021.500000,20.032419,981.262207,5924.013873,37.399213,0,0.006002,-0.005755,23.548423
1739842046,14032.433333,21.334464,623.016357,5834.170792,39.108440,0,0.017451,-0.013433,20.360880
1739842695,14043.250000,20.830533,406.311035,6876.595440,129.866230,0,0.055887,-0.025860,13.264797
1739843342,14054.033333,21.304915,165.985107,6546.378945,59.813042,0,0.001952,-0.001897,14.616027
