Time stamps,Elapsed time,torque_time_list,speed_time_list,power_time_list,efficiency_time_list,vibration_time_list,CNfault_time_list,Icn_y,basic_freq_list
1740560796,26011.600000,22.358617,36.346436,8634.436803,89.523096,0,0.011909,-0.006005,36.409803
1740561445,26022.416667,21.111016,180.450439,6424.047130,45.517312,0,0.012866,-0.011078,19.967338
1740562093,26033.216667,21.687378,97.595215,7737.761272,99.317030,0,0.025018,-0.022565,26.726335
1740562767,26044.450000,21.468137,772.613525,5802.999901,31.421670,0,0.008320,-0.006518,14.677423
1740563416,26055.266667,21.794002,509.033203,5831.471445,38.860469,0,0.016473,-0.016011,16.411298
1740564087,26066.450000,20.834611,30.395508,6797.695192,96.398788,0,0.016281,-0.001136,17.112857
1740564736,26077.266667,20.758678,701.293945,5882.323813,31.258382,0,0.011191,-0.010795,19.338911
1740565383,26088.050000,20.846656,315.673828,6047.952545,30.820831,0,0.009570,-0.006882,19.430099
1740566046,26099.100000,20.013820,823.059082,5921.382226,48.993257,0,0.003087,-0.001872,14.853469
1740566691,26109.850000,20.965644,349.548340,5953.631431,34.877611,0,0.011311,-0.010311,21.826123
1740567349,26120.816667,21.322749,879.547119,5996.899769,29.201608,0,0.009621,-0.009006,19.542583
1740567994,26131.566667,21.541176,563.964844,6035.404114,32.408793,0,0.007406,-0.001213,17.421382
1740568650,26142.500000,19.897950,356.323242,6244.545336,30.636532,0,0.011144,-0.010494,22.004839
1740569296,26153.266667,21.933344,851.257324,5970.990215,34.357295,0,0.010566,-0.004422,15.350049
1740569953,26164.216667,22.167538,540.710449,5990.821538,38.587099,0,0.010752,-0.010750,24.344366
1740570598,26174.966667,21.775638,750.091553,6120.860833,30.408072,0,0.010399,-0.006675,15.830562
1740571256,26185.933333,21.158632,191.986084,6107.648127,40.596529,0,0.007541,-0.006406,16.886994
1740571900,26196.666667,22.403081,687.835693,5995.223918,31.539614,0,0.009119,0.004002,17.353348
1740572557,26207.616667,21.442219,709.442139,5947.599801,32.318009,0,0.023209,-0.021197,18.250048
1740573202,26218.366667,21.192697,744.232178,6044.351868,30.701984,0,0.010372,-0.009731,27.345252
1740573859,26229.316667,20.370875,964.874268,5910.928332,37.556351,0,0.007975,-0.007773,28.533134
1740574504,26240.066667,20.985536,898.223877,5872.931861,37.988492,0,0.012311,-0.012278,15.479472
1740575162,26251.033333,21.329342,920.379639,5822.844201,36.351716,0,0.007862,-0.007816,16.018173
1740575807,26261.783333,21.185577,455.200195,5774.451904,30.054006,0,0.014165,-0.009380,20.442172
1740576464,26272.733333,20.839545,240.875244,6214.239293,29.549551,0,0.010976,-0.006086,21.427440
